展会名称,展会简介,举办周期,举办城市,场馆,日期,组委会官网,展会官网,联系电话,电子邮箱
MADEX,"Marketing, Advertising, Design, Social Media and all that Good Stuff Expo",unknown,Johannesburg,Sandton Convention Centre,06.06 - 07.06 2018,http://www.specialised.com,http://www.madex.co.za,+27 (0)11 835 1565,specialised@specialised.com
FRIGAIR,International event covering the Engineering Aspect of Air Conditioning and Ventilation as well as Cooling and the Environment,every 3 years,Johannesburg,Gallagher Convention Centre,06.06 - 08.06 2018,http://www.specialised.com,http://www.frigairexpo.co.za,+27 (0)11 835 1565,specialised@specialised.com
GTS - GLOBAL TRADE SHOW,"Multisectorial Fair in South Africa. GTS - Global trade show is specializing in networking and match making, seeking to find the right visitor to your product",unknown,Johannesburg,,27.07 - 29.07 2018,http://www.qea.com.br/en,http://www.qea.com.br/en/gts-global-trade-show.html,+55 11 3051-6867,qea@qea.com.br
DECOREX JOBURG,"Home Decor & Design Exhibition. Decorex Joburg brings together the most exquisite collection of exhibitors, design icons and rising stars",unknown,Johannesburg,Gallagher Convention Centre,08.08 - 12.08 2018,http://www.thebereed.co.za,http://www.reedexpoafrica.co.za/decorex,+27 (11) 549 8300,sian@ThebeReed.co.za
ECOAFRIBUILD,"EcoAfribuild will focus on the next generation of building and infrastructure, providing insight around the latest in global eco-friendly technologies and the transformation towards an eco-friendly built environment",every 2 years,Johannesburg,"Expo Centre Nasrec, Johannesburg",15.08 - 18.08 2018,http://www.specialised.com,http://www.ecoafribuild.co.za,+27 (0)11 835 1565,roz@specialised.com
GLASS EXPO AFRICA,"Showcasing glass manufacturers & wholesalers, including suppliers of equipment, services and technology associated with the manufacture and conversion of glass, and manufacturers, converters of aluminum products and services related to glass application",every 2 years,Johannesburg,"Expo Centre Nasrec, Johannesburg",15.08 - 18.08 2018,http://www.specialised.com,http://www.glassexpoafrica.co.za,+27 (0)11 835 1565,specialised@specialised.com
INTERBUILD AFRICA,International Building and Construction Exhibition,every 2 years,Johannesburg,"Expo Centre Nasrec, Johannesburg",15.08 - 18.08 2018,http://www.specialised.com,http://www.interbuild.co.za,+27 (0)11 835 1565,specialised@specialised.com
PLUMBDRAIN AFRICA,"International Plumbing, Drainage Sanitation, Heating, Cooling & Mechanical Exhibition",every 2 years,Johannesburg,"Expo Centre Nasrec, Johannesburg",15.08 - 18.08 2018,http://www.specialised.com,http://plumbdrain.interbuild.co.za,+27 (0)11 835 1565,specialised@specialised.com
ACCESS MBA - CAP TOWN,ACCESS MBA is a communication campaign specifically designed to better inform prospective students of existing MBA opportunities. ACCESS MBA is a series of events organised around the world,once a year,Cape Town,One&Only Cap Town,01.09 - 01.09 2018,http://www.advent-group.net,http://www.accessmba.com/tour,+33 (0)1 44 63 03 78,coutat@advent-communication.net
PROFESSIONAL BEAUTY - JOHANNESBURG,Beauty Industry Trade Show,once a year,Johannesburg,Gallagher Convention Centre,02.09 - 03.09 2018,http://www.professionalbeauty.co.uk,http://www.probeauty.co.za,+44 (0) 20 7351 0536,info@professionalbeauty.co.uk
FOOD & DRINK TECHNOLOGY (FDT) AFRICA,"Processing, Filling, Packaging & Logistics Expo. At FDT Africa you’ll have the opportunity to see just about anything related to food and drink including processing and packaging equipment as well as associated supplies",every 2 years,Johannesburg,Gallagher Convention Centre,04.09 - 06.09 2018,http://www.mmi-southafrica.co.za,http://fdt-africa.com,+27 11 476-8093,dain.richardson@mmi-southafrica.co.za
BUYABUSINESS EXPO,"Franchise and Business Opportunities Exhibition. The BuyaBusiness Expo brings together leading Business Opportunities, Franchise options & Business Support Service companies to an audience of successful & aspirant entrepreneurs",once a year,Johannesburg,Ticketpro Dome,06.09 - 08.09 2018,http://www.thebereed.co.za,http://www.buyabusinessexpo.co.za,+27 (11) 549 8300,Jenna@ThebeReed.co.za
SMALL BUSINESS EXPO,"Small Business Trade Sho. Small Business Expo is devoted to the development of small & medium sized enterprises, providing a platform for small businesses to market their businesses & interact with prominent business leaders & representatives",once a year,Johannesburg,Ticketpro Dome,06.09 - 08.09 2018,http://www.thebereed.co.za,http://www.thebereed.co.za,+27 (11) 549 8300,info@thebereed.co.za
SOUTH AFRICAN BOOK FAIR,International Book Fair,every 2 years,Johannesburg,MuseuMAfricA,07.09 - 09.09 2018,http://sabookcouncil.co.za,http://www.southafricanbookfair.co.za,+27 21 914 8626,admin@sabookcouncil.co.za
ITU TELECOM WORLD,World Telecommunication Exhibition,once a year,Durban,,10.09 - 13.09 2018,http://www.itu.int/index.html,http://telecomworld.itu.int,+41 22 730 6161,itutelecom@itu.int
ELECTRA MINING AFRICA,"International Mining, Electrical Engineering and Industrial Exhibition",once a year,Johannesburg,"Expo Centre Nasrec, Johannesburg",10.09 - 14.09 2018,http://www.fairgroundholdings.com,http://www.electramining.co.za,+267 3975555,specialised@specialised.com
AFRICA OIL & POWER,African Energy Conference dedicated to Oil & Gas. Africa Oil & Power aims to be the benchmark for top-tier networking and high-level discussion on a multitude of issues concerning the African energy and electricity landscape,once a year,Cape Town,Cape Town International Convention Centre,12.09 - 14.09 2018,http://africaoilandpower.com,http://africaoilandpower.com,,aydanur@africaoilandpower.com
FESPA AFRICA,"Wide format print exhibition. FESPA AFRICA is the event for the wide format print industry; providing an international platform to demonstrate & see the latest equipment & consumables in digital printing, screen printing, industrial & garment decoration",once a year,Johannesburg,Gallagher Convention Centre,12.09 - 14.09 2018,http://www.fespa.com,http://www.fespaafrica.com,+44 (0)1737 240788,info@fespa.com
RISI INTERNATIONAL WOODFIBER RESOURCE AND TRADE CONFERENCE,International Woodfiber Resource and Trade Conference,unknown,Durban,Southern Sun Elangeni & Maharani,17.09 - 19.09 2018,http://www.risiinfo.com,http://www.risiinfo.com/events,+1 (781) 734.8900,events@risi.com
AFRICA AEROSPACE & DEFENCE,Aerospace & Defense Exhibition,once a year,Pretoria,"Air Force Base, Waterkloof",19.09 - 23.09 2018,http://www.aadexpo.co.za,http://www.aadexpo.co.za,+27 (0) 84 840 3215,info@aadexpo.co.za
SAAW - SOUTH AFRICAN AUTOMOTIVE NATIONAL WEEK,South African Automotive National Week - Component & Allied Manufacturers,every 2 years,somewhere in,,Oct. 2018 (?),http://www.inkanyezievents.co.za,http://www.saaw.co.za,+27 (41) 363 0310,roger@naacam.co.za
SOUTH AFRICAN AUTOMOTIVE WEEK,Africa's Automotive Manufacturing Trade Show. South African Automotive Week is co-hosted with AfriMold,every 2 years,somewhere in,,Oct. 2018 (?),http://www.saaw.co.za,http://www.saaw.co.za,,andrew@inkanyezi.co.za
EDUTECH AFRICA,Educational Fair. Tools & Equipment,once a year,Johannesburg,Sandton Convention Centre,09.10 - 10.10 2018,http://www.terrapinn.com,http://www.terrapinn.com/exhibition/digital-education-africa/index.stm,+44 (0)20 7608 7030,enquiry.uk@terrapinn.com
EDUTECH MIDDLE EAST,Educational Fair. Tools & Equipment,once a year,Johannesburg,Sandton Convention Centre,09.10 - 10.10 2018,http://www.terrapinn.com,http://www.terrapinn.com/exhibition/digital-education-show-middle-east/index.stm,+44 (0)20 7608 7030,enquiry.uk@terrapinn.com
AGRI-EXPO LIVESTOCK,Livestock Exhibition in South Africa,once a year,Cape Town,Sandringham Farm,11.10 - 13.10 2018,http://www.agriexpo.co.za,http://livestock.org.za,+27 21 975 4440/1/2/3,admin@agriexpo.co.za
PPP - PUBLIC PRIVATE PARTNERSHIP AFRICA,African PPP (Public Private Partnership) Conference,once a year,Cape Town,,24.10 - 25.10 2018,http://ametrade.org,http://ametrade.org/africappp,+44 (0) 207 700 4949,appp@ametrade.org
AFRICA OIL WEEK,"International Oil & Gas Event Sub-Saharan & Maghreb Africa. Africa Oil Week provides key insights on Africa’s upstream - exploration and development future, trends and challenges, onshore and offshore",once a year,Cape Town,Cape Town International Convention Centre,05.11 - 09.11 2018,http://www.ite-exhibitions.com,http://www.africa-oilweek.com,+44 (0)20 7596 5000,amanda.wellbeloved@ite-exhibitions.com
AGRIWORKS STELLENBOSCH,"Agricultural Expo. AGRIWORKS expo focuses on farming, research, agricultural produce and equipment and is open to all sectors of the farming community, with a special focus on the wine and fruit sectors",once a year,Stellenbosch,Van der Stel Sport Grounds,08.11 - 10.11 2018,http://www.cadek.co.za,http://agriworks.co.za,+27 21 854 4700,info@cadek.co.za
AFRICA COM,"Africa Com is the premier Pan-African communications event. Comprising a high-level conference programme and separate co-located networking exhibition, this is the best place to learn from your peers, to meet existing clients AND to build new contact",once a year,Cape Town,Cape Town International Convention Centre,13.11 - 15.11 2018,http://www.informatm.com,http://africa.comworldseries.com,+44 (0)20 7017 5537,caroline.wiezien@informa.com
TV CONNECT AFRICA,"Trade Show for the Broadcast Industry in Sub-Saharan Africa. AfricaCast will continue to bring together the growing number of Sub-Saharan Africa’s major broadcasters, content owners, cable companies and pay TV providers",once a year,Cape Town,Cape Town International Convention Centre,13.11 - 15.11 2018,http://www.informatm.com,http://tmt.knect365.com/africacom/tv-connect-africa,+44 (0)20 7017 5537,itmevents@informa.com
COMPLAST SOUTH AFRICA,International Plastics Exhibition,once a year,Johannesburg,Gallagher Convention Centre,13.11 - 15.11 2018,http://www.smartexpos.in,http://complastexpo.in/southafrica,+91 44 2250 1986,plastics@smartexpos.in
WOPS - WORLD OF PLASTICS & RUBBER EXHIBITION - SOUTH AFRICA,"Forum for Plastics & Rubber Products. Facilitating the convergence of buyers & sellers Institutional, Government, Small, Medium & Micro Enterprises, Exporters, Importers, Distributors, Traders and Retailers",unknown,Johannesburg,Gallagher Convention Centre,13.11 - 15.11 2018,http://www.smartexpos.in,http://www.wops.co.in,+91 44 2250 1986,office@smartexpos.in
